"账号","账户名称","交易时间","借方发生额（支取）","贷方发生额（收入）","余额","币种","对方户名","对方账号","对方开户机构","记账日期","摘要","备注","账户明细编号-交易流水号","企业流水号","凭证种类","凭证号","个性化信息名称1","个性化信息名称2","个性化信息名称3","个性化信息名称4","个性化信息名称5","个性化信息名称6","个性化信息名称7","个性化信息名称8","个性化信息名称9","个性化信息名称10","个性化信息1","个性化信息2","个性化信息3","个性化信息4","个性化信息5","个性化信息6","个性化信息7","个性化信息8","个性化信息9","个性化信息10"
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 09:31:17","0.00","3900.00","183994715.74","人民币元","郑州丹尼斯百货有限公司南阳新华分公司","253303370228","中国银行南阳卧龙支行","20180102","自定义","货款","104944-3710800000NPP5LSR8J","","电汇凭证","","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 09:51:27","0.00","3686.00","183998401.74","人民币元","沈阳云翔制冷设备科技有限公司","0346010140800005413","盛京银行沈阳市中山支行","20180102","自定义","货款货款","104945-3710800000N8PM91RDH","","电汇凭证","","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 09:58:59","0.00","40736.00","184017375.74","人民币元","宁波曜达商用设备有限公司","380558330032","中国银行股份有限公司宁波四眼碶支行","20180102","自定义","货款","104947-3710800000NJP6MX9PE","","电汇凭证","","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 10:06:55","0.00","11040.00","184028415.74","人民币元","青岛锐莱斯制冷设备有限公司","37101985110051003022","建行青岛山东路中央商务区支行","20180102","自定义","货款","104948-3719851100N7PP6UPBX","","电子转账凭证","101188490582","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 10:10:25","0.00","25825.00","184054240.74","人民币元","上海杨沃实业有限公司","445560628866","中国银行上海市分行营业部","20180102","自定义","货款","104949-3710800000N4PXYQEDK","","电汇凭证","","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 10:40:10","0.00","5713.00","184059953.74","人民币元","吉林省灼灼商贸有限公司","7060720109000002","吉林银行长春兴亚支行","20180102","自定义","货款","104950-3710800000MZPFJAZVE","","电汇凭证","","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 11:25:05","0.00","6180.00","184066133.74","人民币元","长沙恒捷科技发展有限公司","800024712720010","长沙银行股份有限公司湘银支行","20180102","自定义","货款","104951-3710800000NQP2SM1TV","","电汇凭证","","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 12:21:22","0.00","125521.00","184191654.74","人民币元","贵州佳莱仕制冷设备有限公司","52001413600052506481","建行贵阳城北支行","20180102","自定义","货款","104952-5204536000NEPLE9NZM","","电子转账凭证","101189531602","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 13:23:28","0.00","93600.00","184285254.74","人民币元","哈尔滨海晟制冷设备有限公司","1209180548079372","哈尔滨银行股份有限公司红旗支行","20180102","自定义","货款 货款","104953-3710800000NRPGIYPDR","","电汇凭证","","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 13:29:40","0.00","17088.00","184302342.74","人民币元","重庆润泰制冷设备有限公司","3100027809200062654","中国工商银行股份有限公司重庆分行业务处理中心","20180102","电子汇入","电子汇入","104954-3710800000NJP6UG7D4","","电汇凭证","","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 13:38:32","0.00","151704.00","184454046.74","人民币元","山东华盛达机电设备有限公司","244222537935","中国银行股份有限公司潍坊潍城支行","20180102","电子汇入","电子汇入","104955-3710800000N4PY661CM","","电汇凭证","","","","","","","","","","","","","","","","","","","","",""
"37101985510050403879","青岛海尔开利冷冻设备有限公司","20180102 14:08:09","0.00","10800.00","184353923.74","人民币元","苍南县龙港大润发商业有限公司","33001627261059006798","苍南龙港支行","20180102","自定义","货款 54145","104958-3306272610N4PY784HK","","电子转账凭证","101188639530","","","","","","","","","","","","","","","","","","","",""
